"","directorio","secuencia_p","orden","fecha","ocu","inac","deso"
"1",4804775,1,1,2019-01-01,1,0,0
"2",4804775,1,2,2019-01-01,0,1,0
"3",4804775,1,6,2019-01-01,1,0,0
"4",4804776,1,1,2019-01-01,1,0,0
"5",4804776,1,2,2019-01-01,1,0,0
"6",4804777,1,1,2019-01-01,0,1,0
"7",4804777,1,2,2019-01-01,1,0,0
"8",4804777,1,3,2019-01-01,1,0,0
"9",4804778,1,1,2019-01-01,1,0,0
"10",4804778,1,2,2019-01-01,1,0,0
"11",4804778,1,4,2019-01-01,1,0,0
"12",4804779,1,1,2019-01-01,1,0,0
"13",4804779,1,2,2019-01-01,0,1,0
"14",4804780,1,1,2019-01-01,1,0,0
"15",4804781,1,1,2019-01-01,1,0,0
"16",4804781,1,2,2019-01-01,0,1,0
"17",4804781,1,3,2019-01-01,0,1,0
"18",4804781,1,4,2019-01-01,1,0,0
"19",4804781,1,5,2019-01-01,0,1,0
"20",4804781,1,6,2019-01-01,0,1,0
"21",4804782,1,1,2019-01-01,0,1,0
"22",4804782,1,2,2019-01-01,0,1,0
"23",4804783,1,1,2019-01-01,1,0,0
"24",4804783,1,2,2019-01-01,1,0,0
"25",4804784,1,1,2019-01-01,0,1,0
"26",4804785,1,1,2019-01-01,1,0,0
"27",4804785,1,2,2019-01-01,0,1,0
"28",4804785,1,3,2019-01-01,0,1,0
"29",4804785,1,5,2019-01-01,1,0,0
"30",4804785,1,6,2019-01-01,0,1,0
"31",4804786,1,1,2019-01-01,0,1,0
"32",4804786,1,2,2019-01-01,1,0,0
"33",4804786,1,3,2019-01-01,0,1,0
"34",4804787,1,1,2019-01-01,1,0,0
"35",4804787,1,2,2019-01-01,1,0,0
"36",4804787,1,3,2019-01-01,0,1,0
"37",4804787,1,4,2019-01-01,0,1,0
"38",4804787,1,7,2019-01-01,1,0,0
"39",4804787,1,8,2019-01-01,1,0,0
"40",4804788,1,1,2019-01-01,1,0,0
"41",4804788,1,2,2019-01-01,0,0,1
"42",4804788,2,1,2019-01-01,1,0,0
"43",4804789,1,1,2019-01-01,0,1,0
"44",4804789,1,2,2019-01-01,0,1,0
"45",4804790,1,1,2019-01-01,1,0,0
"46",4804790,1,2,2019-01-01,0,1,0
"47",4804790,1,3,2019-01-01,0,1,0
"48",4804791,1,1,2019-01-01,1,0,0
"49",4804791,1,2,2019-01-01,0,1,0
"50",4804791,1,3,2019-01-01,1,0,0
"51",4804791,1,4,2019-01-01,0,0,1
"52",4804791,1,5,2019-01-01,1,0,0
"53",4804792,1,1,2019-01-01,1,0,0
"54",4804793,1,1,2019-01-01,1,0,0
"55",4804793,1,2,2019-01-01,1,0,0
"56",4804794,1,1,2019-01-01,1,0,0
"57",4804794,1,2,2019-01-01,1,0,0
"58",4804794,1,3,2019-01-01,1,0,0
"59",4804795,1,1,2019-01-01,0,1,0
"60",4804795,1,2,2019-01-01,0,1,0
"61",4804795,1,3,2019-01-01,1,0,0
"62",4804795,1,4,2019-01-01,1,0,0
"63",4804795,1,7,2019-01-01,1,0,0
"64",4804795,1,8,2019-01-01,1,0,0
"65",4804796,1,1,2019-01-01,1,0,0
"66",4804796,1,2,2019-01-01,0,1,0
"67",4804796,1,3,2019-01-01,0,1,0
"68",4804797,1,1,2019-01-01,0,1,0
"69",4804797,1,2,2019-01-01,1,0,0
"70",4804797,1,3,2019-01-01,0,0,1
"71",4804797,1,4,2019-01-01,0,1,0
"72",4804798,1,1,2019-01-01,0,1,0
"73",4804798,1,2,2019-01-01,0,1,0
"74",4804798,1,3,2019-01-01,1,0,0
"75",4804798,1,6,2019-01-01,1,0,0
"76",4804799,1,1,2019-01-01,1,0,0
"77",4804799,1,2,2019-01-01,0,1,0
"78",4804799,1,3,2019-01-01,1,0,0
"79",4804799,1,4,2019-01-01,0,1,0
"80",4804800,1,1,2019-01-01,0,1,0
"81",4804800,1,2,2019-01-01,1,0,0
"82",4804800,1,3,2019-01-01,1,0,0
"83",4804800,1,4,2019-01-01,0,1,0
"84",4804801,1,1,2019-01-01,1,0,0
"85",4804801,1,2,2019-01-01,1,0,0
"86",4804801,1,5,2019-01-01,1,0,0
"87",4804802,1,1,2019-01-01,0,1,0
"88",4804802,1,2,2019-01-01,0,1,0
"89",4804802,1,3,2019-01-01,1,0,0
"90",4804802,1,4,2019-01-01,1,0,0
"91",4804802,1,5,2019-01-01,0,1,0
"92",4804803,1,1,2019-01-01,1,0,0
"93",4804803,1,2,2019-01-01,1,0,0
"94",4804804,1,1,2019-01-01,1,0,0
"95",4804804,1,2,2019-01-01,1,0,0
"96",4804804,1,5,2019-01-01,0,1,0
"97",4804805,1,1,2019-01-01,1,0,0
"98",4804805,1,2,2019-01-01,1,0,0
"99",4804806,1,1,2019-01-01,1,0,0
"100",4804806,1,2,2019-01-01,0,1,0
"101",4804806,1,3,2019-01-01,0,1,0
"102",4804807,1,1,2019-01-01,1,0,0
"103",4804807,1,2,2019-01-01,1,0,0
"104",4804807,1,4,2019-01-01,0,1,0
"105",4804808,1,1,2019-01-01,0,1,0
"106",4804808,1,2,2019-01-01,0,1,0
"107",4804808,1,3,2019-01-01,0,1,0
"108",4804808,1,4,2019-01-01,0,1,0
"109",4804808,1,5,2019-01-01,0,1,0
"110",4804808,1,6,2019-01-01,1,0,0
"111",4804808,1,7,2019-01-01,1,0,0
"112",4804808,1,8,2019-01-01,0,1,0
"113",4804810,1,1,2019-01-01,1,0,0
"114",4804810,1,2,2019-01-01,0,1,0
"115",4804810,1,3,2019-01-01,0,0,1
"116",4804810,1,4,2019-01-01,1,0,0
"117",4804810,1,5,2019-01-01,1,0,0
"118",4804810,1,7,2019-01-01,1,0,0
"119",4804811,1,1,2019-01-01,0,1,0
"120",4804812,1,1,2019-01-01,1,0,0
"121",4804812,1,2,2019-01-01,1,0,0
"122",4804813,1,1,2019-01-01,1,0,0
"123",4804813,1,2,2019-01-01,1,0,0
"124",4804814,1,1,2019-01-01,0,1,0
"125",4804815,1,1,2019-01-01,1,0,0
