"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"1",4804775,1,1,1,37,18,579.928021533135
"2",4804775,1,2,2,38,17,579.928021533135
"3",4804775,1,6,2,51,0,579.928021533135
"4",4804776,1,1,1,37,16,1145.27885525577
"5",4804776,1,2,2,23,15,1145.27885525577
"6",4804777,1,1,2,86,11,498.94954758792
"7",4804777,1,2,2,80,11,498.94954758792
"8",4804777,1,3,2,50,11,498.94954758792
"9",4804778,1,1,1,30,16,1110.50490161216
"10",4804778,1,2,2,30,16,1110.50490161216
"11",4804778,1,4,1,23,17,1110.50490161216
"12",4804779,1,1,1,44,17,562.390228360473
"13",4804779,1,2,2,43,17,562.390228360473
"14",4804780,1,1,1,67,19,1061.42308597483
"15",4804781,1,1,1,66,5,1007.39496209902
"16",4804781,1,2,2,58,3,1007.39496209902
"17",4804781,1,3,1,25,11,1007.39496209902
"18",4804781,1,4,2,40,11,1007.39496209902
"19",4804781,1,5,1,14,6,1007.39496209902
"20",4804781,1,6,2,13,7,1007.39496209902
"21",4804782,1,1,1,69,16,1049.08103920693
"22",4804782,1,2,2,66,16,1049.08103920693
"23",4804783,1,1,1,50,16,1124.78045672095
"24",4804783,1,2,2,45,13,1124.78045672095
"25",4804784,1,1,2,54,15,1022.58318871165
"26",4804785,1,1,1,36,5,513.036323834382
"27",4804785,1,2,2,38,15,513.036323834382
"28",4804785,1,3,2,12,5,513.036323834382
"29",4804785,1,5,1,61,11,513.036323834382
"30",4804785,1,6,2,54,5,513.036323834382
"31",4804786,1,1,1,35,18,555.252450806081
"32",4804786,1,2,2,40,13,555.252450806081
"33",4804786,1,3,1,18,12,555.252450806081
"34",4804787,1,1,1,44,16,576.471959800985
"35",4804787,1,2,2,35,14,576.471959800985
"36",4804787,1,3,2,15,8,576.471959800985
"37",4804787,1,4,2,13,7,576.471959800985
"38",4804787,1,7,1,25,18,576.471959800985
"39",4804787,1,8,2,38,11,576.471959800985
"40",4804788,1,1,1,26,16,1050.37129212271
"41",4804788,1,2,2,27,8,1050.37129212271
"42",4804788,2,1,1,69,4,1050.37129212271
"43",4804789,1,1,1,73,16,1049.08103920693
"44",4804789,1,2,2,73,11,1049.08103920693
"45",4804790,1,1,1,61,11,1025.16641397319
"46",4804790,1,2,2,57,16,1025.16641397319
"47",4804790,1,3,1,18,11,1025.16641397319
"48",4804791,1,1,1,59,11,463.85739910359
"49",4804791,1,2,2,57,11,463.85739910359
"50",4804791,1,3,2,29,15,463.85739910359
"51",4804791,1,4,1,24,16,463.85739910359
"52",4804791,1,5,2,28,16,463.85739910359
"53",4804792,1,1,1,54,5,1151.99851327781
"54",4804793,1,1,1,39,11,1187.07409962314
"55",4804793,1,2,2,36,13,1187.07409962314
"56",4804794,1,1,1,57,11,460.477983778278
"57",4804794,1,2,2,54,13,460.477983778278
"58",4804794,1,3,2,26,16,460.477983778278
"59",4804795,1,1,1,73,4,1076.23100019187
"60",4804795,1,2,2,72,0,1076.23100019187
"61",4804795,1,3,2,36,11,1076.23100019187
"62",4804795,1,4,1,34,5,1076.23100019187
"63",4804795,1,7,1,22,13,1076.23100019187
"64",4804795,1,8,1,17,5,1076.23100019187
"65",4804796,1,1,1,37,11,571.940667069738
"66",4804796,1,2,2,34,11,571.940667069738
"67",4804796,1,3,1,14,9,571.940667069738
"68",4804797,1,1,1,69,9,540.52237400354
"69",4804797,1,2,2,63,7,540.52237400354
"70",4804797,1,3,1,38,11,540.52237400354
"71",4804797,1,4,2,28,11,540.52237400354
"72",4804798,1,1,2,59,16,1224.27474808729
"73",4804798,1,2,2,31,16,1224.27474808729
"74",4804798,1,3,1,32,11,1224.27474808729
"75",4804798,1,6,1,27,11,1224.27474808729
"76",4804799,1,1,1,54,11,558.516047095974
"77",4804799,1,2,2,51,11,558.516047095974
"78",4804799,1,3,1,25,12,558.516047095974
"79",4804799,1,4,1,18,11,558.516047095974
"80",4804800,1,1,2,46,13,525.565335406443
"81",4804800,1,2,1,43,16,525.565335406443
"82",4804800,1,3,2,19,14,525.565335406443
"83",4804800,1,4,1,17,11,525.565335406443
"84",4804801,1,1,1,40,14,1155.45391260531
"85",4804801,1,2,2,36,16,1155.45391260531
"86",4804801,1,5,2,63,2,1155.45391260531
"87",4804802,1,1,2,67,13,528.565061386669
"88",4804802,1,2,1,71,7,528.565061386669
"89",4804802,1,3,1,41,13,528.565061386669
"90",4804802,1,4,2,36,13,528.565061386669
"91",4804802,1,5,1,12,6,528.565061386669
"92",4804803,1,1,1,60,16,524.540519603464
"93",4804803,1,2,2,61,16,524.540519603464
"94",4804804,1,1,1,35,17,580.538150675587
"95",4804804,1,2,2,31,13,580.538150675587
"96",4804804,1,5,2,18,8,580.538150675587
"97",4804805,1,1,1,65,16,524.540519603464
"98",4804805,1,2,2,62,16,524.540519603464
"99",4804806,1,1,2,51,17,495.974452727934
"100",4804806,1,2,2,22,15,495.974452727934
"101",4804806,1,3,1,21,14,495.974452727934
"102",4804807,1,1,1,31,11,1112.43840995304
"103",4804807,1,2,2,33,11,1112.43840995304
"104",4804807,1,4,2,57,6,1112.43840995304
"105",4804808,1,1,2,70,1,439.177498501414
"106",4804808,1,2,2,48,11,439.177498501414
"107",4804808,1,3,2,18,11,439.177498501414
